排序,搜索起始_rx_度,搜索起始_ry_度,搜索起始_rz_度,收敛结束_rx_度,收敛结束_ry_度,收敛结束_rz_度,最终平移_x_米,最终平移_y_米,最终平移_z_米,覆盖程度,loss
60,0.0,90.0,225.0,135.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
61,0.0,90.0,270.0,90.00000000000001,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
62,0.0,90.0,315.0,45.000000000000014,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
63,0.0,135.0,0.0,180.0,45.00000000000001,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
64,0.0,135.0,45.0,180.0,45.0,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
65,0.0,135.0,90.0,180.0,45.00000000000001,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
66,0.0,135.0,135.0,-180.0,45.0,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
67,0.0,135.0,180.0,-180.0,45.00000000000001,-7.016709298534876e-15,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
68,0.0,135.0,225.0,180.0,45.0,44.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
69,0.0,135.0,270.0,180.0,45.00000000000001,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
70,0.0,135.0,315.0,-180.0,45.00000000000001,134.99999999999997,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
71,0.0,180.0,0.0,180.0,7.016709298534876e-15,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
72,0.0,180.0,45.0,180.0,7.0167092985348775e-15,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
73,0.0,180.0,90.0,-180.0,7.016709298534876e-15,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
74,0.0,180.0,135.0,180.0,7.016709298534876e-15,-45.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
75,0.0,180.0,180.0,180.0,7.016709298534876e-15,-7.016709298534876e-15,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
76,0.0,180.0,225.0,-180.0,7.016709298534876e-15,44.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
77,0.0,180.0,270.0,-180.0,7.016709298534876e-15,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
78,0.0,180.0,315.0,180.0,7.016709298534876e-15,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
79,0.0,225.0,0.0,180.0,-44.99999999999999,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
80,0.0,225.0,45.0,-180.0,-44.999999999999986,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
81,0.0,225.0,90.0,180.0,-44.99999999999999,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
82,0.0,225.0,135.0,180.0,-44.999999999999986,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
83,0.0,225.0,225.0,-180.0,-44.999999999999986,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
84,0.0,225.0,270.0,180.0,-44.99999999999999,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
85,0.0,225.0,315.0,180.0,-44.99999999999999,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
86,0.0,270.0,0.0,180.0,-90.00000000000001,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
87,0.0,270.0,45.0,-135.00000000000003,-90.00000000000001,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
88,0.0,270.0,90.0,-90.0,-90.00000000000001,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
89,0.0,270.0,135.0,-45.00000000000001,-90.00000000000001,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
90,0.0,270.0,225.0,45.0,-90.00000000000001,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
91,0.0,270.0,270.0,89.99999999999999,-90.00000000000001,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
92,0.0,270.0,315.0,135.0,-90.00000000000001,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
93,0.0,315.0,45.0,3.804005236152288e-15,-45.000000000000014,44.999999999999986,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
94,0.0,315.0,90.0,0.0,-45.000000000000014,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
95,0.0,315.0,135.0,-9.876661678588917e-15,-45.00000000000002,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
96,0.0,315.0,225.0,3.804005236152288e-15,-45.000000000000014,-135.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
97,0.0,315.0,270.0,8.995967132789893e-15,-45.000000000000014,-90.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
